run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,k_vol,gamma,gamma_inv_scale,gamma_vol_scale,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl
5f441155,-3.3281015183347336,-3.4808716192659577,-0.09549840050496543,0.5083482448107264,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.2,0.3
c42cdebe,-3.2538608018803643,-3.4533473906107046,-0.09750791318220621,0.5296871382706946,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.2,0.6
2e03b47a,-0.9900461759589234,-0.8368653627577722,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.1,0.2
33b3cc88,-3.5323386709387705,-3.6695957798734917,-0.14085727127959435,0.5652702084197176,2,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.05,0.3
908d6a0a,-3.6057219067879487,-3.6813131074750696,-0.10454606001723052,0.46703362838238,1,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.05,0.4
1bdd74f6,-3.157742872397648,-3.280341807591049,-0.09576535873606103,0.40448424061022537,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.05,0.6
80cbd33b,-1.107876003752608,-0.9330148494338567,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.2,0.2
2627d369,-3.446997028595433,-3.64658173652055,-0.09362177498106701,0.5871540597077579,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.1,0.3
a47249c7,-3.583666293263377,-3.6796885302857403,-0.09952616275285806,0.47856947806790645,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.1,0.4
a6d8beec,-1.1081796027938253,-0.9332725621543914,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.2,1,0.05,0.2
71a555bc,-3.379981427862731,-3.554946288831472,-0.09466133095578294,0.523981711611712,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.1,0.6
de8fa55f,-3.4098686849229125,-3.5915776531813117,-0.09600800093976854,0.5386976056881624,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.2,0.4
b8b65acf,-3.5856354317274963,-3.6798339021679927,-0.09721041625284295,0.47647884540823543,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.2,0.3
f8cd6bbb,-3.1713372199064906,-3.4293539469648553,-0.09407258863587173,0.5323679126177344,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.2,0.6
24ad5385,-1.1081796027938253,-0.9332725621543914,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.2,1,0.1,0.2
96701818,-3.342671732283634,-3.555312299462813,-0.09483966079493543,0.5521060899458269,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.2,1,0.05,0.6
86fa84ce,-3.550958037514647,-3.6566837474263467,-0.11078032512340363,0.4762011637693967,1,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.2,1,0.05,0.3
2257cfe1,-3.44160769482005,-3.6094093820905484,-0.09701119690150448,0.5206119845402435,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.2,1,0.05,0.4
bdebe13b,-3.595422733844316,-3.6335257015210116,-0.0983014445714057,0.4273704512999868,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.2,1,0.1,0.3
5bb98e03,-1.1081796027938253,-0.9332725621543914,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.2,1,0.2,0.2
c0851daf,-3.2068354144576006,-3.427472688673728,-0.09306795977888735,0.4979941165978629,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.2,1,0.1,0.6
e90efca2,-3.5606588674090744,-3.6355674313864927,-0.09565851124355419,0.46057675769699086,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.2,1,0.1,0.4
dfc2012f,-1.108027769396358,-0.933143677312946,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.2,2,0.05,0.2
